variable;unit;min;max;definition
Efficiency|Liquids|Biomass|w/ CCS;%;0;;Conversion efficiency (energy content of liquids produced per unit of primary energy input) of a new biomass to liquids plant with CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Liquids|Biomass|w/ CCS|2, ... Efficiency|Liquids|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Liquids|Biomass|w/o CCS;%;0;;Conversion efficiency (energy content of liquids produced per unit of primary energy input) of a new biomass to liquids plant w/o CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Liquids|Biomass|w/o CCS|2, ... Efficiency|Liquids|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Liquids|Coal|w/ CCS;%;0;;Conversion efficiency (energy content of liquids produced per unit of primary energy input) of a new coal to liquids plant with CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Liquids|Coal|w/ CCS|2, ... Efficiency|Liquids|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Liquids|Coal|w/o CCS;%;0;;Conversion efficiency (energy content of liquids produced per unit of primary energy input) of a new coal to liquids plant w/o CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Liquids|Coal|w/o CCS|2, ... Efficiency|Liquids|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Liquids|Gas|w/ CCS;%;0;;Conversion efficiency (energy content of liquids produced per unit of primary energy input) of a new gas to liquids plant with CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Liquids|Gas|w/ CCS|2, ... Efficiency|Liquids|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Liquids|Gas|w/o CCS;%;0;;Conversion efficiency (energy content of liquids produced per unit of primary energy input) of a new gas to liquids plant w/o CCS. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Liquids|Gas|w/o CCS|2, ... Efficiency|Liquids|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Efficiency|Liquids|Oil;%;0;;Conversion efficiency (energy content of liquids produced per unit of primary energy input) of a new oil refining plant. The efficiency should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report efficiency for the additional plant types by adding variables Efficiency|Liquids|Oil|2, ... Efficiency|Electricity|Oil|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Lifetime|Electricity|Biomass|w/ CCS;years;0;;Lifetime of a new biomass power plant with CCS. Lifetime should be calculated by summing all vintages of a  capacity unit (e.g. (1+1+0.9+0.7+0.5) * 10 years = 41 years) or by the e-folding time for exponential capacity depreciation.  The lifetime should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report lifetime for the additional plant types by adding variables Lifetime|Electricity|Biomass|w/ CCS|2, ... Lifetime|Electricity|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Lifetime|Electricity|Biomass|w/o CCS;years;0;;Lifetime of a new biomass power plant w/o CCS. Lifetime should be calculated by summing all vintages of a  capacity unit (e.g. (1+1+0.9+0.7+0.5) * 10 years = 41 years) or by the e-folding time for exponential capacity depreciation.  The lifetime should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report lifetime for the additional plant types by adding variables Lifetime|Electricity|Biomass|w/o CCS|2, ... Lifetime|Electricity|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Lifetime|Electricity|Coal|w/ CCS;years;0;;Lifetime of a new coal power plant with CCS. Lifetime should be calculated by summing all vintages of a  capacity unit (e.g. (1+1+0.9+0.7+0.5) * 10 years = 41 years) or by the e-folding time for exponential capacity depreciation.  The lifetime should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report lifetime for the additional plant types by adding variables Lifetime|Electricity|Coal|w/ CCS|2, ... Lifetime|Electricity|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Lifetime|Electricity|Coal|w/o CCS;years;0;;Lifetime of a new coal power plant w/o CCS. Lifetime should be calculated by summing all vintages of a  capacity unit (e.g. (1+1+0.9+0.7+0.5) * 10 years = 41 years) or by the e-folding time for exponential capacity depreciation.  The lifetime should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report lifetime for the additional plant types by adding variables Lifetime|Electricity|Coal|w/o CCS|2, ... Lifetime|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Lifetime|Electricity|Gas|w/ CCS;years;0;;Lifetime of a new gas power plant with CCS. Lifetime should be calculated by summing all vintages of a  capacity unit (e.g. (1+1+0.9+0.7+0.5) * 10 years = 41 years) or by the e-folding time for exponential capacity depreciation.  The lifetime should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report lifetime for the additional plant types by adding variables Lifetime|Electricity|Gas|w/ CCS|2, ... Lifetime|Electricity|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Lifetime|Electricity|Gas|w/o CCS;years;0;;Lifetime of a new gas power plant w/o CCS. Lifetime should be calculated by summing all vintages of a  capacity unit (e.g. (1+1+0.9+0.7+0.5) * 10 years = 41 years) or by the e-folding time for exponential capacity depreciation.  The lifetime should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report lifetime for the additional plant types by adding variables Lifetime|Electricity|Gas|w/o CCS|2, ... Lifetime|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
